Diff  D and E,Diff F and G,Diff I and H,Diff J and K,Prediction
0.532408759,29.07142857,0.008734793,192.341877,1
0.080808081,-4.055555556,-0.003636364,-21.63075196,1
1.24,54.33333333,0.0175,364.9133333,1
-0.867368421,-13.6,-0.008421053,-108.4168421,0
0.1,2.911111111,0.003557047,14.75422222,1
0.64,10.7,0.007935409,81.352,1
0.556,-7.028571429,0.002168675,-13.50731429,0
1.46,40.2,0.020786517,301.892,1
0.129387755,4.910714286,0.002857143,31.17691691,1
0.230388693,-12.29166667,-0.008268551,-60.91372203,1
0.48,14.91428571,0.010913242,99.96342857,1
0.253148789,37.73333333,0.006286044,233.4245536,1
1.74,39,0.01689038,273.924,1
0.372250923,-36,-0.023059539,-161.3582288,0
-1.123870968,-10.33333333,-0.005842294,-81.88129032,0
0.733023256,7.063492063,0.002868217,53.72998154,1
-0.08,-38.2,-0.019347319,-194.512,0
0.230865052,18.56666667,0.012908788,113.1462699,1
-0.333150685,-14.91428571,-0.010913242,-96.02786693,0
-0.04,-37.73333333,-0.00606596,-213.5306667,0
-1.711006711,-39,-0.01689038,-273.297745,0
0.134285714,30.14285714,0.009727891,177.5971429,1
-0.02,-3.791666667,-0.002972973,-20.6825,0
-0.08,2.958333333,0.003534676,12.2825,0
2.957647059,4.7,0.028980146,36.50729412,1
2.86,34.56666667,0.023668122,256.2113333,1
0.762325581,34.3,0.017829457,199.1745581,1
2.830819672,191.4,0.028205553,1388.70177,1
-0.435986159,-10.7,-0.007935409,-75.88442907,0
1.5,37.9,0.024485597,264.782,1
-0.623842795,-8.7,-0.009884338,-57.68717031,0
1.64,42.1,0.020786517,327.586,1
1.86,81.4,0.023444816,543.228,1
0.299653979,36,0.023059539,183.2795848,1
1.44,10.33333333,0.007453184,88.52,1
2.594698795,7.028571429,-0.002168675,79.84338726,1
-0.827191011,-40.2,-0.020786517,-285.6920899,0
-0.02,-4.910714286,-0.002857143,-26.98892857,0
0.244761905,-45.95,-0.007936508,-254.0069048,0
4.06,74.75,0.042532588,607.645,1
2.48,33.8,0.020650407,265.852,1
-0.636344086,-16.07142857,-0.012508961,-98.21711214,0
-0.973702422,-27.9,-0.014602076,-210.5273356,0
-2.96,-177.9285714,-0.016666667,-1685.264286,0
1.143762376,-111.8,-0.042748194,-263.310099,0
0.244536082,-3.194444444,-0.004261168,-9.511489118,1
-1.11380531,-49.2,-0.024406518,-380.8415221,0
2.589090909,4.025,-0.008959157,63.36890909,1
-0.06,-0.6,0.002201258,-6.348,0
1.16,1.3,0.000706215,25.222,1
1.22,25.36666667,0.01875969,174.4353333,1
3.14,22.1,0.037027601,144.238,1
-0.02,-7.063492063,-0.002868217,-31.42253968,0
0.326713287,38.2,0.019347319,210.0549371,1
-0.024242424,-19.06666667,-0.012908788,-107.4424242,0
-1.429007634,-46.8,-0.021501272,-372.9709924,0
-1.485185185,-19.875,-0.014485597,-154.1736111,0
0.68,22.53333333,0.016764706,146.5453333,1
-0.241284404,-13.175,-0.019204893,-65.83130734,0
0.003434343,-21.9,-0.014439264,-94.97216162,0
-0.02,-2.666666667,-0.003333333,-12.78,0
0.130505051,0.571428571,-0.00023569,7.472323232,1
0.095876289,-17.3,-0.012625131,-85.81391753,0
2.94,30.3,0.019039548,284.382,1
-0.14,-23.3,-0.01,-144.444,0
-0.74137931,-48.05,-0.024980843,-279.6215517,0
0.355384615,-50,-0.023971809,-205.5369231,0
-1.588494208,-48.8,-0.021943372,-399.8563552,0
-1.82,-17.41071429,-0.003333333,-173.8889286,0
-2.102162162,-28.28571429,-0.044234234,-154.4465637,0
-0.04,-7.174603175,-0.000588235,-32.38920635,0
-0.08,-56.22222222,-0.019399293,-284.4311111,0
2.42,18.825,0.025146805,137.0945,1
1.86,26.16666667,0.022372881,162.1633333,1
